PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
140,7/3/23,7:59:09 PM,1,4,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Phillip Steering,philst00jos,Right,Joliet slammers,Windup,6,Top,0,1,2,Fastball,,InPlay,,FlyBall,HomeRun,0,1,,87.08436357,0.780941938,2.833632839,2497.978209,151.1239681,11:00,5.302231835,-2.005119827,5.506653249,-19.47557012,18.16339155,-8.937548331,3.287075755,-0.57335823,78.96724073,-4.509798089,-3.600896457,0.441560625,102.2465451,25.12761513,-17.86412886,1852.100348,,,,401.1138813,,-21.17977073,4.691146887,5.636149608,9.44603558,1.763871221,50,5.357511299,-5.958360988,-126.4478992,1.071156825,9.034541462,28.17693802,-17.0324004,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,fc9886ab-1a05-11ee-8767-a54d0313c162,87.27948868,5.302814954,-2.008354138,0.772921005,2.872936825,79.13262442,3.287251959,-0.57059839,-4.506577348,-3.558949826,0.441394293,-9.301040931,16.70029108,7.303188492,76.91392577,2477.713035,317.5425107,99.18873698,-0.868562658,0.127119808,0.478998396,-28.39695879,88.10723763,43.41754704,0.577016758,1.62473545,3.221215917,-144.9205899,374.0192086,-39.46012803,43.31061799,1.148125646,0.974602376,-0.008387158,0.22378531,,,0.623241801,1,0.981608059,59.53490702,high,high,20.7774668,-67.90368621,54.99334675,Blake Grant-parks,blakgr00scb,Schaumburg boomers
193,7/3/23,8:31:37 PM,4,3,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Matthew Warkentin,mattwa00jos,Right,Joliet slammers,,7,Top,2,2,0,Fastball,,InPlay,,FlyBall,Out,1,0,,85.80664239,0.172441068,3.316919242,2356.283865,147.5506506,11:00,5.299885051,-2.074753629,5.50963597,-22.49330014,16.20608283,-8.626725531,2.789595219,0.557358707,77.76630738,-5.231394226,-1.873508867,0.447737575,93.88028147,43.37508909,-27.72264351,2659.9305,-54.87919887,95.33243692,72.16202825,294.3202547,,-32.42699248,3.913748578,5.590916896,8.585696048,1.79123848,50,5.300051833,-6.933599812,-124.572104,-0.370402753,8.721314429,26.7305297,-18.78115604,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,8523ece1-1a0a-11ee-a723-59eb4d1af30f,85.99709376,5.29965726,-2.07849556,0.17421367,3.361710401,77.92531395,2.79054114,0.560434369,-5.216441969,-1.826697804,0.447571955,-9.041947999,14.70242483,27.83880821,78.30131706,2083.57905,1100.35085,88.42648721,-0.746201149,0.466985691,0.474455698,-31.74426543,60.40589956,64.4743062,-0.763659437,2.226208901,3.140660813,-157.8217329,248.4284866,5.834755726,-63.25888426,-1.164726576,-0.628083696,-0.73726005,0.248914625,,,0.995262453,1,0.84328908,51.40896407,high,high,19.52881465,-61.27090017,54.99036403,Blake Grant-parks,blakgr00scb,Schaumburg boomers
7,7/3/23,6:45:40 PM,2,2,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Liam Mcarthur,liammc00jos,Left,Joliet slammers,Windup,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,85.07120423,0.019912962,3.00219953,2275.235295,145.8684913,10:45,5.467451406,-2.155830467,5.616221933,-22.99476978,16.20055016,-9.381469408,3.320125943,0.771916573,77.81356092,-4.565820826,-1.049777784,0.450597346,,,,,,,,,,,,5.920954237,8.661929506,1.905659561,50,5.454530225,-6.177254673,-123.5618749,-0.6999339,9.084028714,26.37199417,-18.88476999,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,b83e7c75-19fb-11ee-82d7-f95d3e49f011,85.25743402,5.467101711,-2.159502779,0.023253011,3.046634258,77.97345998,3.321010418,0.774984483,-4.551749768,-1.003224187,0.450431926,-9.791758237,14.65568947,18.52465551,82.9794924,2157.348583,722.8711767,94.8187024,-0.784863608,0.317712712,0.53202232,,,,,,,,,,,,,,,,,0.99739724,1,,,high,high,15.31845684,-67.85961359,54.88377807,Blake Grant-parks,blakgr00scb,Schaumburg boomers
186,7/3/23,8:24:56 PM,2,3,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Tyler Depreta-johnson,tylede00jos,Right,Joliet slammers,,7,Top,0,1,1,Fastball,,BallCalled,,,,,,,86.23289798,-1.263963452,1.036543151,2370.263007,142.8607721,10:45,5.356728216,-2.073961099,5.372021096,-22.35384173,16.10405858,-10.49110049,1.498847883,-1.531040945,77.96975682,-6.511752061,-4.5631582,0.449952829,,,,,,,,,,,,4.759545971,9.181145297,-1.547881596,50,5.302705437,6.020148784,-124.3688169,-5.636364952,7.383285278,27.17269864,-17.93172158,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,97039bca-1a09-11ee-a1de-b1d85078bcc6,86.4169589,5.356408432,-2.077926743,-1.26097246,1.084544457,78.12484137,1.499824118,-1.527723729,-6.496524974,-4.512104852,0.449799492,-10.93513483,14.56753119,14.83744659,78.15573321,2291.229505,606.9712355,96.66562308,-0.770590075,0.256077589,0.583622485,,,,,,,,,,,,,,,,,0.996920742,1,,,high,high,19.65984011,-65.33853502,55.1279789,Blake Grant-parks,blakgr00scb,Schaumburg boomers
184,7/3/23,8:24:14 PM,2,1,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Tyler Depreta-johnson,tylede00jos,Right,Joliet slammers,,7,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,85.10994365,-0.776757045,1.829295767,2354.29905,143.1774548,10:45,5.45240779,-2.022319519,5.247559474,-23.63237531,16.0345799,-10.1284187,1.97219825,-1.116640858,76.69867403,-6.289065985,-4.113673288,0.453300247,,,,,,,,,,,,5.898205798,8.701126219,1.861913596,50,5.364017434,-3.601237946,-123.6353645,-2.487748572,9.059111053,26.42312682,-18.80990608,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,7d208178-1a09-11ee-80f6-63f7058ecf25,85.29617165,5.451927987,-2.026436797,-0.771953541,1.878648925,76.85263705,1.97339799,-1.113236636,-6.270435676,-4.061543282,0.453133662,-10.58706963,14.44704231,21.74884794,70.54204408,2186.712987,872.3590621,92.88170023,-0.743513924,0.370538765,0.55667591,,,,,,,,,,,,,,,,,0.995062974,1,,,high,high,26.51216032,-54.64878331,55.25244053,Blake Grant-parks,blakgr00scb,Schaumburg boomers
180,7/3/23,8:22:25 PM,1,3,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Scott Holzwasser,scotho00jos,Right,Joliet slammers,,7,Top,0,1,1,Fastball,,StrikeCalled,,,,,,,86.65849471,-0.204174039,4.083788117,2326.923669,145.2177728,10:45,5.284577151,-1.990452095,5.476973321,-22.84292137,16.022825,-9.476611989,2.184526741,0.393235322,77.85841013,-6.021221352,-2.549446417,0.443950247,,,,,,,,,,,,6.3288739,8.703872192,1.63825024,50,5.252030372,-8.651279348,-125.6952315,-1.182970878,10.05395143,27.15195095,-18.34721251,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,3c8392b8-1a09-11ee-a97b-b9cc6aa36560,86.84905906,5.284409766,-1.994269456,-0.203040242,4.129088517,78.01530503,2.185467283,0.396380535,-6.006422733,-2.5014611,0.443788923,-9.925258824,14.45537041,19.12058041,37.20105315,2198.55035,762.2008403,94.48313149,-0.776014715,0.327557303,0.538987362,,,,,,,,,,,,,,,,,0.990950662,1,,,high,high,123.4809478,8.404418112,55.02302668,Blake Grant-parks,blakgr00scb,Schaumburg boomers
22,7/3/23,6:52:59 PM,6,3,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Christian Fedko,chrife00jos,Right,Joliet slammers,,1,Top,2,2,0,Fastball,,BallCalled,,,,,,,86.31999368,0.701738556,0.433679321,2320.921561,144.3879563,10:45,5.424170619,-2.113557555,5.636832265,-22.15500615,15.86192422,-9.954282483,3.234455118,-1.660493954,79.0848876,-5.138295079,-4.552469534,0.443772153,,,,,,,,,,,,5.465577388,8.282561615,2.083016342,50,5.469783912,-0.62508212,-125.5197638,0.814072161,8.634284297,27.7293175,-19.08961466,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,bde76f9e-19fc-11ee-a6dd-8f1bb1249d52,86.5089362,5.423936616,-2.117397954,0.703668513,0.480297573,79.24329522,3.235273212,-1.657377775,-5.125313784,-4.504442111,0.443607525,-10.38380025,14.29796211,15.66009925,77.66800079,2234.768856,626.4862755,96.28799583,-0.782800588,0.269929965,0.560679101,,,,,,,,,,,,,,,,,0.996610984,1,,,high,high,20.09879929,-61.76313451,54.86316774,Blake Grant-parks,blakgr00scb,Schaumburg boomers
149,7/3/23,8:02:21 PM,3,4,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Christian Fedko,chrife00jos,Right,Joliet slammers,,6,Top,1,1,2,Fastball,,Foul,,,,,,,87.77530664,-0.948304439,2.766328027,2319.829008,147.9012603,11:00,5.333225111,-1.95597304,5.494241807,-21.73180658,15.8568538,-8.419790539,1.797590934,-0.571204592,79.23723725,-6.19436264,-3.228815104,0.43754858,,,,,,,,,,,,5.366350257,8.872575177,1.719775502,50,5.236409427,-5.869397635,-127.4804146,-2.821590862,8.771463832,27.85406055,-17.67155375,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,6e5676bd-1a06-11ee-80fb-1f8606c5486f,87.96444181,5.333148796,-1.959466573,-0.948225865,2.808024187,79.39520534,1.798411541,-0.568297356,-6.181537415,-3.184673981,0.437389987,-8.837337232,14.36972195,22.69694527,91.39413135,2140.178344,895.1219364,92.25586614,-0.781530449,0.38585686,0.490229171,,,,,,,,,,,,,,,,,0.995860834,1,,,high,high,7.745281789,-12.87765171,55.00575819,Blake Grant-parks,blakgr00scb,Schaumburg boomers
151,7/3/23,8:03:08 PM,3,6,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Christian Fedko,chrife00jos,Right,Joliet slammers,,6,Top,1,1,2,Fastball,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,87.05016051,-0.118459948,3.273849741,2285.990625,148.1896839,11:00,5.305238013,-1.754692021,5.434786296,-21.31000998,15.81181469,-8.295714285,2.41260284,0.600578681,79.67616419,-5.667341346,-1.890678842,0.441931201,,,,,,,,,,,,5.516236063,8.657106872,1.470754902,50,5.280149039,-6.937762379,-126.3687538,-0.993319988,8.856307368,27.4669585,-18.27507962,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,8aab1d23-1a06-11ee-9f2f-c197d96629c1,87.24180483,5.305114424,-1.758214709,-0.117864723,3.315766829,79.83635156,2.413353388,0.603399309,-5.65537926,-1.847645621,0.441769053,-8.700050592,14.36315649,22.43188673,49.19387174,2113.01843,872.2994054,92.43338126,-0.785496841,0.381584857,0.487224496,,,,,,,,,,,,,,,,,0.993185779,1,,,high,high,45.72551543,13.26812992,55.0652137,Blake Grant-parks,blakgr00scb,Schaumburg boomers
189,7/3/23,8:27:01 PM,2,6,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Tyler Depreta-johnson,tylede00jos,Right,Joliet slammers,,7,Top,0,2,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,84.34579394,1.588732811,3.265421579,2252.90866,142.1444552,10:45,5.235211949,-2.242543653,5.396991942,-24.51334294,15.79674029,-10.57676444,2.331708038,-0.139230416,78.35199196,-5.50382694,-3.286587158,0.456960194,,,,,,,,,,,,6.609153192,7.905630087,1.958671166,50,5.360116157,-6.631437313,-122.3735175,2.587347038,9.933527537,26.142482,-20.2919231,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,e0ef6687-1a09-11ee-97df-61766e88d62d,84.53421512,5.23466092,-2.246521446,1.594547029,3.314229986,78.5077769,2.332780105,-0.136009703,-5.486947717,-3.23706422,0.45679019,-11.02965558,14.13580263,16.41339017,89.54263216,2161.098044,636.5945901,95.92479637,-0.757384268,0.282565646,0.588664358,,,,,,,,,,,,,,,,,0.994828587,1,,,high,high,9.411631054,-81.85892407,55.10300806,Blake Grant-parks,blakgr00scb,Schaumburg boomers
