"PitchNo","Date","Time","PAofInning","PitchofPA","Pitcher","PitcherId","PitcherThrows","PitcherTeam","Batter","BatterId","BatterSide","BatterTeam","PitcherSet","Inning","Top.Bottom","Outs","Balls","Strikes","TaggedPitchType","AutoPitchType","PitchClass","PitchCall","KorBB","TaggedHitType","PlayResult","OutsOnPlay","RunsScored","Notes","RelSpeed","arm_angle","arm_angle_180","arm_angle_savant","VertRelAngle","HorzRelAngle","SpinRate","SpinVeloRatio","SpinAxis","Tilt","SpinAxis_inferred","Tilt_inferred","RelHeight","RelSide","Extension","VertBreak","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","ZoneSpeed","VertApprAngle","HorzApprAngle","ZoneTime","ExitSpeed","Angle","Direction","HitSpinRate","PositionAt110X","PositionAt110Y","PositionAt110Z","Distance","LastTrackedDistance","Bearing","HangTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","HomeTeam","AwayTeam","Stadium","Level","League","GameID","PitchUID","EffectiveVelo","MaxHeight","MeasuredDuration","SpeedDrop","PitchLastMeasuredX","PitchLastMeasuredY","PitchLastMeasuredZ","ContactPositionX","ContactPositionY","ContactPositionZ","GameUID","UTCDate","UTCTime","LocalDateTime","UTCDateTime","AutoHitType","System","HomeTeamForeignID","AwayTeamForeignID","GameForeignID","Catcher","CatcherId","CatcherThrows","CatcherTeam","PlayID","PitchTrajectoryXc0","PitchTrajectoryXc1","PitchTrajectoryXc2","PitchTrajectoryYc0","PitchTrajectoryYc1","PitchTrajectoryYc2","PitchTrajectoryZc0","PitchTrajectoryZc1","PitchTrajectoryZc2","HitSpinAxis","HitTrajectoryXc0","HitTrajectoryXc1","HitTrajectoryXc2","HitTrajectoryXc3","HitTrajectoryXc4","HitTrajectoryXc5","HitTrajectoryXc6","HitTrajectoryXc7","HitTrajectoryXc8","HitTrajectoryYc0","HitTrajectoryYc1","HitTrajectoryYc2","HitTrajectoryYc3","HitTrajectoryYc4","HitTrajectoryYc5","HitTrajectoryYc6","HitTrajectoryYc7","HitTrajectoryYc8","HitTrajectoryZc0","HitTrajectoryZc1","HitTrajectoryZc2","HitTrajectoryZc3","HitTrajectoryZc4","HitTrajectoryZc5","HitTrajectoryZc6","HitTrajectoryZc7","HitTrajectoryZc8","ThrowSpeed","PopTime","ExchangeTime","TimeToBase","CatchPositionX","CatchPositionY","CatchPositionZ","ThrowPositionX","ThrowPositionY","ThrowPositionZ","BasePositionX","BasePositionY","BasePositionZ","ThrowTrajectoryXc0","ThrowTrajectoryXc1","ThrowTrajectoryXc2","ThrowTrajectoryYc0","ThrowTrajectoryYc1","ThrowTrajectoryYc2","ThrowTrajectoryZc0","ThrowTrajectoryZc1","ThrowTrajectoryZc2","PitchReleaseConfidence","PitchLocationConfidence","PitchMovementConfidence","HitLaunchConfidence","HitLandingConfidence","CatcherThrowCatchConfidence","CatcherThrowReleaseConfidence","CatcherThrowLocationConfidence","HitType","zone_x","zone_y","xBA","x1B","x2B","x3B","xHR","xOut","xSLG","woba_weight","xwOBACON","Umpire","HomeTeamCode","AwayTeamCode","Code","PitchUUID","yt_RelSpeed","yt_RelHeight","yt_RelSide","yt_VertRelAngle","yt_HorzRelAngle","yt_ZoneSpeed","yt_PlateLocHeight","yt_PlateLocSide","yt_VertApprAngle","yt_HorzApprAngle","yt_ZoneTime","yt_HorzBreak","yt_InducedVertBreak","yt_OutOfPlane","yt_FSRI","yt_EffectiveSpin","yt_GyroSpin","yt_Efficiency","yt_SpinComponentX","yt_SpinComponentY","yt_SpinComponentZ","yt_HitVelocityX","yt_HitVelocityY","yt_HitVelocityZ","yt_HitLocationX","yt_HitLocationY","yt_HitLocationZ","yt_GroundLocationX","yt_GroundLocationY","yt_HitBreakX","yt_HitBreakY","yt_HitBreakT","yt_HitSpinComponentX","yt_HitSpinComponentY","yt_HitSpinComponentZ","yt_SessionName","Note","yt_PitchSpinConfidence","yt_PitchReleaseConfidence","yt_HitSpinConfidence","yt_EffectiveBattingSpeed","yt_ReleaseAccuracy","yt_ZoneAccuracy","yt_SeamLat","yt_SeamLong","yt_ReleaseDistance","filter_col","barrel","sweetspot","HitDirection1","HitDirection2","hc_x","hc_y","launch_speed","launch_angle","bbe","hardhit","weakhit","whiff","swing","take","in_zone","SEASON","yt_AeroModel","local_vid_file","arm_length","height_inches","shoulder_pos","run_value","total_bases","woba_value","tj_stuff_plus"
1,"2024-05-11","7:47:35 PM",1,1,"Kobe Foster","Kobefo00wwt","Left","Washington Wild Things","Chase Dawson","chasda00scb","Left","Schaumburg Boomers","",1,"Top",0,0,0,"Fastball","Fastball","Fastballs","StrikeCalled","","","",,,,86.50831216,36.7400675274932,143.259932472507,53.2599324725068,-3.213346903,2.556859364,2188.52912,25.2984836411123,145.3965615,"10:45",149.177769375721,"10:58",6.344338063,-1.600674242,6.000000192,-18.18999885,19.41351684,-11.58299014,1.82468641,-0.179084799,79.38472431,-6.593355488,0.391696226,0.441352659,,,,,,,,,,,,6.872406339,11.2311769,1.3907215,50,6.059224152,-5.226133363,-125.6003213,-7.659334217,11.01290047,24.6856864,-14.17630217,"Washington Wild Things","Schaumburg Boomers","con04","Independent","Frontier","c176f84c-b263-45ac-8b0f-60ef817a9d19","93632508-0933-4a04-a2f3-a359cb700ba7",,,,,,,,,,,"c176f84c-b263-45ac-8b0f-60ef817a9d19",19854,"23:47:35",1715471255,1715471255,,"Yakkertech",,,,"J.C. Santini","jc--sa00wwt",,"Washington Wild Things",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,1.82,,,,,,,,0,,"Dalton Phillips","WWT","BOOM",319,"93632508-0933-4a04-a2f3-a359cb700ba7",86.67491233,6.346090825,-1.605479656,-3.235011733,2.614323914,79.52230742,1.823865716,-0.175479354,-6.605095458,0.447493061,0.441228048,-12.12666502,18.64127412,15.64048762,97.39149341,2107.492911,590.0282546,96.29722955,-0.792624701,0.269600367,0.546865363,,,,,,,,,,,,,,,,,0.995854274,0,,,"medium","high",2.347655927,88.69439731,54.86700176,"All",,,"","",,,,,,,,0,0,1,1,2024,"2022-11","H:\VID2024\05\11\0410550\0410550L\0121A.mp4",28.08,72,50.4,-0.0164085,,,80.4195792126492
2,"2024-05-11","7:47:53 PM",1,2,"Kobe Foster","Kobefo00wwt","Left","Washington Wild Things","Chase Dawson","chasda00scb","Left","Schaumburg Boomers","",1,"Top",0,0,1,"Fastball","Fastball","Fastballs","InPlay","","LineDrive","",,,"C. Dawson singled to right field.",88.04990004,59.513572627646,120.486427372354,30.486427372354,-1.015312729,1.773983728,2226.728771,25.2893957856673,144.4857376,"10:45",147.368219144063,"10:55",5.402932841,-2.043281393,5.755657283,-17.19889638,19.40157951,-12.42299627,1.769983203,-0.487470713,80.29375483,-6.602884518,-0.116633003,0.435426532,95.17573089,15.13746596,29.18740988,2188.899971,59.80694674,92.32079461,19.91415719,240.0531493,,38.25478937,2.221092407,7.072527914,10.5585351,1.893608929,50,5.300349652,-3.530381759,-128.0087942,-2.870939597,11.73750804,26.37683889,-14.65119324,"Washington Wild Things","Schaumburg Boomers","con04","Independent","Frontier","c176f84c-b263-45ac-8b0f-60ef817a9d19","c74d47e0-4846-4e1c-b3ca-d1566b601fb8",,,,,,,,,,,"c176f84c-b263-45ac-8b0f-60ef817a9d19",19854,"23:47:53",1715471273,1715471273,"LineDrive","Yakkertech",,,,"J.C. Santini","jc--sa00wwt",,"Washington Wild Things",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LineDrive",-0.55,2,0.682347,0.477751,0.208193,0.018936,0.00019,0.29493,0.951705,,0.778163900432805,"Dalton Phillips","WWT","BOOM",319,"c74d47e0-4846-4e1c-b3ca-d1566b601fb8",88.21886371,5.404903917,-2.048202177,-1.039637126,1.832535478,80.43210999,1.769063611,-0.483726636,-6.616099848,-0.059166454,0.435287578,-12.96674319,18.57067069,11.88937489,90.04928965,2178.95922,458.7567314,97.8547207,-0.796508992,0.206022726,0.568443544,44.80366815,80.20810594,24.8537887,0.556459408,2.508830949,1.913081846,148.63121,188.505379,34.55653327,-17.06736732,0.065357801,0.194142263,0.160972077,-0.967675964,,,0.996036912,1,0.997368255,53.28261556,"high","high",8.955639313,-45.86553886,55.11134466,"All",0,"SweetSpot","Right","Right",148.631209980231,188.505378991318,95,15,1,1,0,0,1,0,1,2024,"2022-11","H:\VID2024\05\11\0410550\0410550L\0122A.mp4",28.08,72,50.4,,,,
3,"2024-05-11","7:48:28 PM",2,1,"Kobe Foster","Kobefo00wwt","Left","Washington Wild Things","Alec Craig","aleccr00scb","Left","Schaumburg Boomers","",1,"Top",0,0,0,"Fastball","Fastball","Fastballs","BallCalled","","","",,,,86.39816835,61.1753460998166,118.824653900183,28.8246539001834,-1.342602053,3.925966198,2181.893977,25.2539378862885,149.6815138,"11:00",153.148164855724,"11:06",5.492549483,-2.348744251,5.85583221,-17.91409414,20.04525638,-10.14836017,1.464648649,1.206717049,78.70092124,-7.183648545,2.081703482,0.44343596,,,,,,,,,,,,6.464178848,11.01805358,2.011650094,50,5.362796253,-8.263174401,-125.3936254,-3.550187622,10.31132805,24.91177377,-14.59861307,"Washington Wild Things","Schaumburg Boomers","con04","Independent","Frontier","c176f84c-b263-45ac-8b0f-60ef817a9d19","bac364d6-2ae2-41d4-a237-b903476435c4",,,,,,,,,,,"c176f84c-b263-45ac-8b0f-60ef817a9d19",19854,"23:48:28",1715471308,1715471308,,"Yakkertech",,,,"J.C. Santini","jc--sa00wwt",,"Washington Wild Things",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2,2,,,,,,,,0,,"Dalton Phillips","WWT","BOOM",319,"bac364d6-2ae2-41d4-a237-b903476435c4",86.5666569,5.494525418,-2.352908327,-1.367467365,3.976513718,78.84129396,1.463754449,1.209943423,-7.196283198,2.131581466,0.44329382,-10.61829471,19.24294066,20.60459498,91.93923188,2042.321088,767.8449714,93.60313148,-0.80801286,0.35191672,0.472514381,,,,,,,,,,,,,,,,,0.996925942,1,,,"high","high",7.254691312,26.23389023,55.01116974,"All",,,"","",,,,,,,,0,0,1,0,2024,"2022-11","H:\VID2024\05\11\0410550\0410550L\0123A.mp4",28.08,72,50.4,0.0143314,,,85.2312021774526
4,"2024-05-11","7:48:48 PM",2,2,"Kobe Foster","Kobefo00wwt","Left","Washington Wild Things","Alec Craig","aleccr00scb","Left","Schaumburg Boomers","",1,"Top",0,1,0,"Fastball","Fastball","Fastballs","StrikeCalled","","","",,,,86.29252399,38.0925487914806,141.907451208519,51.9074512085194,-3.229044623,3.483297025,2163.097479,25.0670322176539,141.5200866,"10:45",145.182991918134,"10:50",6.295576031,-1.642701464,6.000000192,-18.98449306,18.85307793,-13.11153208,1.692435134,0.518193389,79.1990655,-6.756298817,1.035385772,0.442724083,,,,,,,,,,,,7.931430548,10.9300034,1.354810038,50,6.008376157,-7.188094711,-125.1835907,-7.700839542,12.6331812,24.38279559,-14.76474206,"Washington Wild Things","Schaumburg Boomers","con04","Independent","Frontier","c176f84c-b263-45ac-8b0f-60ef817a9d19","abc0ee06-4045-43c3-8a0e-0987855d3c82",,,,,,,,,,,"c176f84c-b263-45ac-8b0f-60ef817a9d19",19854,"23:48:48",1715471328,1715471328,,"Yakkertech",,,,"J.C. Santini","jc--sa00wwt",,"Washington Wild Things",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0.55,2,,,,,,,,0,,"Dalton Phillips","WWT","BOOM",319,"abc0ee06-4045-43c3-8a0e-0987855d3c82",86.45452374,6.296966567,-1.647799334,-3.246535878,3.545012886,79.33399946,1.691837631,0.522178768,-6.764466223,1.096284897,0.44260295,-13.69602376,18.06216016,11.23777996,72.5711531,2121.624122,421.5468971,98.08268666,-0.767817115,0.194881137,0.610309938,,,,,,,,,,,,,,,,,0.945222818,0,,,"medium","high",24.68596221,-89.43287312,54.86700176,"All",,,"","",,,,,,,,0,0,1,1,2024,"2022-11","H:\VID2024\05\11\0410550\0410550L\0124A.mp4",28.08,72,50.4,-0.01110813,,,78.1734413345457
5,"2024-05-11","7:49:10 PM",2,3,"Kobe Foster","Kobefo00wwt","Left","Washington Wild Things","Alec Craig","aleccr00scb","Left","Schaumburg Boomers","",1,"Top",0,1,1,"Fastball","Fastball","Fastballs","StrikeSwinging","","","",,,,86.99521053,56.9921718828279,123.007828117172,33.0078281171721,-0.341657935,2.448998718,2212.568684,25.4332240880893,155.1627583,"11:15",157.664469937724,"11:15",5.578147198,-2.121525954,6.207434761,-16.26529324,20.60138964,-8.4641736,2.733607236,0.102876869,78.96334039,-5.56783014,0.873074546,0.437007161,,,,,,,,,,,,5.237343824,11.18533637,1.927211968,50,5.54078228,-5.140450016,-126.5273584,-1.275990547,8.490534796,25.80684914,-14.04090981,"Washington Wild Things","Schaumburg Boomers","con04","Independent","Frontier","c176f84c-b263-45ac-8b0f-60ef817a9d19","26aa6d2a-eb18-477e-bc0f-6672e4710f37",,,,,,,,,,,"c176f84c-b263-45ac-8b0f-60ef817a9d19",19854,"23:49:10",1715471350,1715471350,,"Yakkertech",,,,"J.C. Santini","jc--sa00wwt",,"Washington Wild Things",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,2.5,,,,,,,,0,,"Dalton Phillips","WWT","BOOM",319,"26aa6d2a-eb18-477e-bc0f-6672e4710f37",87.16948124,5.580594826,-2.125192235,-0.371777182,2.492688788,79.10816662,2.732408395,0.105620499,-5.585457146,0.915736125,0.436861167,-8.866780441,19.80768991,19.38131275,89.32851763,2087.184502,734.2486201,94.33309425,-0.856077214,0.331853481,0.396238654,,,,,,,,,,,,,,,,,0.997008515,1,,,"high","high",9.604334136,41.3887711,54.65956719,"Whiff",,,"","",,,,,,,,1,1,0,1,2024,"2022-11","H:\VID2024\05\11\0410550\0410550L\0125A.mp4",28.08,72,50.4,-0.14819686,,,109.923213532434
6,"2024-05-11","7:50:17 PM",2,4,"Kobe Foster","Kobefo00wwt","Left","Washington Wild Things","Alec Craig","aleccr00scb","Left","Schaumburg Boomers","",1,"Top",0,1,2,"Fastball","Fastball","Fastballs","InPlay","","PopUp","Out",1,0,"A. Craig fouled out to 1b. (1 out)",87.43801988,62.2144235794671,117.785576420533,27.7855764205329,-0.044708698,2.669938247,2230.351903,25.5078043402737,147.2113267,"11:00",150.778701348293,"11:02",5.489119623,-2.446525582,5.530668948,-17.94028119,20.08136234,-11.23289262,2.779296688,-0.253025425,79.42370448,-5.494409091,0.824098765,0.440649248,84.81408879,78.22678785,49.32595415,,82.65545757,72.58150821,61.69508854,120.3018331,,48.7654423,6.482606221,6.749161521,10.47069833,2.206260001,50,5.471744573,-5.512661381,-127.0134861,-0.730588178,11.02372604,26.04819099,-15.07176073,"Washington Wild Things","Schaumburg Boomers","con04","Independent","Frontier","c176f84c-b263-45ac-8b0f-60ef817a9d19","c5e377d0-a61d-4ff2-98df-799f5e6c6ccc",,,,,,,,,,,"c176f84c-b263-45ac-8b0f-60ef817a9d19",19854,"23:50:17",1715471417,1715471417,"PopUp","Yakkertech",,,,"J.C. Santini","jc--sa00wwt",,"Washington Wild Things",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PopUp",0,2.5,0.006212,0.007938,0.000841,8.2e-05,1.6e-05,0.991123,0.00993,0,0.00904746640864594,"Dalton Phillips","WWT","BOOM",319,"c5e377d0-a61d-4ff2-98df-799f5e6c6ccc",87.61439167,5.491365683,-2.451415205,-0.071892412,2.726951921,79.56776202,2.77826434,-0.249418499,-5.509262685,0.879472625,0.440501957,-11.77681686,19.29626814,17.53034164,95.26851241,2126.76895,671.8061071,95.3557574,-0.801630751,0.301210812,0.516391504,13.12487441,11.27883303,83.02984556,0.322363762,2.019086378,2.978213236,90.46908212,79.29612993,,,,,,,,,0.993062074,1,,37.99513124,"high","high",4.258338832,59.11561952,55.336333,"All",0,"Under","Right","Right",90.469082134861,79.2961299490462,85,78,1,0,1,0,1,0,1,2024,"2022-11","H:\VID2024\05\11\0410550\0410550L\0126A.mp4",28.08,72,50.4,-0.15858833,0,0,85.685156877192
7,"2024-05-11","7:51:01 PM",3,1,"Kobe Foster","Kobefo00wwt","Left","Washington Wild Things","Kyle Fitzgerald","kylefi00scb","Right","Schaumburg Boomers","",1,"Top",1,0,0,"Slider","Slider","BreakingBalls","StrikeCalled","","","",,,,75.47961808,64.7644094810491,115.235590518951,25.2355905189509,2.715496029,0.848095054,2425.472676,32.134140814402,250.6521116,"2:15",235.334675952998,"1:51",5.348886111,-2.437575869,5.550481983,-44.77403973,5.660021666,8.18468856,2.590992703,-0.458375872,69.73364357,-8.713786396,1.580072898,0.511132497,,,,,,,,,,,,-4.063487708,2.195773971,2.352785487,50,5.567764626,-1.874596178,-109.6003954,3.819430883,-4.925075828,20.01521243,-29.51270197,"Washington Wild Things","Schaumburg Boomers","con04","Independent","Frontier","c176f84c-b263-45ac-8b0f-60ef817a9d19","50e20908-aeec-4699-867f-86451cd478ac",,,,,,,,,,,"c176f84c-b263-45ac-8b0f-60ef817a9d19",19854,"23:51:01",1715471461,1715471461,,"Yakkertech",,,,"J.C. Santini","jc--sa00wwt",,"Washington Wild Things",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",-0.55,2.5,,,,,,,,0,,"Dalton Phillips","WWT","BOOM",319,"50e20908-aeec-4699-867f-86451cd478ac",75.62982173,5.342660334,-2.439694972,2.788230089,0.873653854,69.83510682,2.596731977,-0.457313612,-8.626712096,1.596139194,0.510968303,7.942019322,3.347539321,70.68400885,38.82760081,802.2924734,2288.9396,33.07777825,-0.10958771,0.943708673,-0.3120969,,,,,,,,,,,,,,,,,0.985885725,1,,,"high","high",55.05515927,8.277909107,55.31651997,"All",,,"","",,,,,,,,0,0,1,1,2024,"2022-11","H:\VID2024\05\11\0410550\0410550L\0127A.mp4",28.08,72,50.4,-0.0164085,,,105.074677059072
8,"2024-05-11","7:52:22 PM",3,2,"Kobe Foster","Kobefo00wwt","Left","Washington Wild Things","Kyle Fitzgerald","kylefi00scb","Right","Schaumburg Boomers","",1,"Top",1,0,1,"Fastball","Fastball","Fastballs","Foul","","","",,,,88.38176371,60.3190311077619,119.680968892238,29.6809688922381,0.430627109,2.347290836,2238.406947,25.3265702452454,149.5117878,"11:00",153.001352573605,"11:06",5.569681314,-2.403161352,5.961788135,-16.47058724,19.8143757,-10.0953395,3.149436812,-0.132222797,80.65130555,-5.391138013,0.510345087,0.432378185,,,,,,,,,,,,6.219792493,10.3945567,2.208806541,50,5.596018061,-4.913879351,-128.4929403,0.411028275,10.38879626,26.85796996,-14.81222733,"Washington Wild Things","Schaumburg Boomers","con04","Independent","Frontier","c176f84c-b263-45ac-8b0f-60ef817a9d19","da0ffb1c-84d0-47f0-9a22-a662c05592e2",,,,,,,,,,,"c176f84c-b263-45ac-8b0f-60ef817a9d19",19854,"23:52:22",1715471542,1715471542,,"Yakkertech",,,,"J.C. Santini","jc--sa00wwt",,"Washington Wild Things",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,3.17,,,,,,,,0,,"Dalton Phillips","WWT","BOOM",319,"da0ffb1c-84d0-47f0-9a22-a662c05592e2",88.55595875,5.571963219,-2.407420568,0.401857591,2.399352298,80.79674048,3.148254727,-0.128928153,-5.4084679,0.56129239,0.432236302,-10.58472913,19.0876102,19.54365847,68.90913768,2109.445296,748.8031798,94.2386861,-0.812086386,0.334525043,0.47813042,,,,,,,,,,,,,,,,,0.980655206,1,,,"high","high",27.98177609,83.36982212,54.90521381,"All",,,"","",,,,,,,,0,1,0,1,2024,"2022-11","H:\VID2024\05\11\0410550\0410550L\0128A.mp4",28.08,72,50.4,-0.15492892,,,94.2592301063053
9,"2024-05-11","7:52:43 PM",3,3,"Kobe Foster","Kobefo00wwt","Left","Washington Wild Things","Kyle Fitzgerald","kylefi00scb","Right","Schaumburg Boomers","",1,"Top",1,0,2,"Fastball","Fastball","Fastballs","BallCalled","","","",,,,88.21720876,49.4365893631984,130.563410636802,40.5634106368016,1.388731623,0.488712096,2298.425338,26.0541607505742,156.0468256,"11:15",158.592503316838,"11:17",5.871315246,-1.952479006,5.816141845,-15.61943025,20.22023066,-7.927273878,4.719790214,-1.552643925,81.12498521,-3.949907732,-1.835570005,0.434581501,,,,,,,,,,,,4.574439993,10.45643953,1.91505909,50,5.982892779,-0.805304828,-128.2729948,2.55520811,7.598790512,27.27599452,-14.80442759,"Washington Wild Things","Schaumburg Boomers","con04","Independent","Frontier","c176f84c-b263-45ac-8b0f-60ef817a9d19","e0883a50-7886-4b32-9c41-920b424f83ec",,,,,,,,,,,"c176f84c-b263-45ac-8b0f-60ef817a9d19",19854,"23:52:43",1715471563,1715471563,,"Yakkertech",,,,"J.C. Santini","jc--sa00wwt",,"Washington Wild Things",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2,2,,,,,,,,0,,"Dalton Phillips","WWT","BOOM",319,"e0883a50-7886-4b32-9c41-920b424f83ec",88.39954453,5.873983012,-1.956265269,1.355743655,0.534195375,81.27810959,4.718382973,-1.549853742,-3.971085499,-1.792087121,0.434428637,-8.348829637,19.44684868,23.24380155,46.87647526,2111.871136,907.0608254,91.8833908,-0.839701693,0.39464446,0.373037288,,,,,,,,,,,,,,,,,0.997035595,1,,,"high","high",47.81117227,2.445634698,55.0508601,"All",,,"","",,,,,,,,0,0,1,0,2024,"2022-11","H:\VID2024\05\11\0410550\0410550L\0129A.mp4",28.08,72,50.4,0.02636382,,,108.859994471987
10,"2024-05-11","7:53:03 PM",3,4,"Kobe Foster","Kobefo00wwt","Left","Washington Wild Things","Kyle Fitzgerald","kylefi00scb","Right","Schaumburg Boomers","",1,"Top",1,1,2,"Curveball","Sweeper","BreakingBalls","InPlay","","GroundBall","Out",1,0,"K. Fitzgeral grounded out to ss; C. Dawson advanced to third. (2 out)",68.39061402,59.0929236391139,120.907076360886,30.9070763608861,4.918713887,-0.581991665,2126.944031,31.0999405616976,296.0096146,"3:45",285.396881844105,"3:31",5.46257732,-2.109021816,5.585608312,-64.34809554,-4.263748245,15.48273147,3.657909865,-1.010179539,63.45375094,-9.214619298,1.440084718,0.565282753,79.83220965,-13.24501841,-12.44953548,3694.286633,22.26718693,-107.7226641,7.577657624,15.56675828,,-7.675836591,0.125557021,-8.016229333,-3.553458187,2.151729616,50,5.868823842,0.594027837,-99.05960907,6.705983542,-7.932692163,16.42925797,-35.69047717,"Washington Wild Things","Schaumburg Boomers","con04","Independent","Frontier","c176f84c-b263-45ac-8b0f-60ef817a9d19","478e60d9-0045-4141-8e38-49650854900a",,,,,,,,,,,"c176f84c-b263-45ac-8b0f-60ef817a9d19",19854,"23:53:03",1715471583,1715471583,"GroundBall","Yakkertech",,,,"J.C. Santini","jc--sa00wwt",,"Washington Wild Things",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GroundBall",2,2,0.156102,0.18869,0.005936,0.000599,0,0.804775,0.202359,0,0.193179544060007,"Dalton Phillips","WWT","BOOM",319,"478e60d9-0045-4141-8e38-49650854900a",68.48573132,5.450368463,-2.109311928,5.063321402,-0.578322541,63.49041932,3.667626901,-1.010364283,-9.068638703,1.43716953,0.565174511,15.48306695,-7.570190366,47.98742147,9.85651284,1423.550309,1580.314978,66.92937323,0.293500002,0.742997914,-0.601507979,-16.75239333,75.88138781,-18.29081735,1.015868408,1.684147468,3.716419206,-2.079224586,15.42727418,0.067298676,-0.576382949,-0.012180083,-0.943496792,0.230715355,0.237874397,,,0.997577848,1,0.996971491,45.97879677,"high","high",81.12913844,-51.33400248,55.28139364,"All",0,"Topped","Center","LeftCenter",-2.07922458589319,15.4272741749593,80,-13,1,0,1,0,1,0,0,2024,"2022-11","H:\VID2024\05\11\0410550\0410550L\0130A.mp4",28.08,72,50.4,-0.15858833,0,0,101.590439637119
